,index,fps_low,fps_high,ldf_diff_rate,hdf_diff_rate,ldf_courant,hdf_courant,max_courant_lim,string_id,parameter,max_velocity,max_velocity_x,max_velocity_z
0,run_0606-10,0.577,0.46,0.63,0.598,0.513,0.42,0.0,Δt = 100s,Time step size,,0.517,0.018
0,run_2605_1,0.577,0.46,0.65,0.598,0.288,0.226,11.0,Reference model - Courant max = 0.7,Reference model,,0.504,0.016
0,run_1305_7,0.577,0.46,0.728,0.627,0.074,0.043,47.0,"Δz = 0.2, Δx = 100, Courant = 0.7",None,,0.636,0.016
0,run_0206_1,0.577,0.46,0.659,0.598,0.197,0.179,12.0,Reference model - 3min output,Reference model,,0.504,0.014
0,run_1006_4,0.577,0.46,0.954,1.006,0.385,0.325,0.0,Reference model - Δx = 20m,Reference model,,0.754,0.099
0,run_1106_2,0.577,0.46,0.983,0.97,0.385,0.325,0.0,Reference model - Δz = 1.0m,Reference model,,0.754,0.126
0,run_0606_1,0.577,0.46,0.659,0.598,0.054,0.038,0.0,Δt = 10s,Time step size,,0.508,0.016
0,run_0606_2,0.577,0.46,0.659,0.598,0.105,0.076,0.0,Δt = 20s,Time step size,,0.507,0.016
0,run_0606_3,0.577,0.46,0.659,0.598,0.153,0.114,0.0,Δt = 30s,Time step size,,0.505,0.015
0,run_0606_4,0.577,0.46,0.659,0.598,0.186,0.142,0.0,Δt = 40s,Time step size,,0.504,0.016
0,run_0606_5,0.577,0.46,0.659,0.598,0.234,0.192,0.0,Δt = 50s,Time step size,,0.503,0.016
0,run_0606_6,0.577,0.46,0.659,0.598,0.265,0.239,0.0,Δt = 60s,Time step size,,0.502,0.016
0,run_0606_7,0.577,0.46,0.659,0.598,0.265,0.239,0.0,Δt = 70s,Time step size,,0.502,0.016
0,run_0606_8,0.577,0.46,0.63,0.598,0.403,0.308,0.0,Δt = 80s,Time step size,,0.504,0.017
0,run_0606_9,0.577,0.46,0.63,0.598,0.403,0.308,0.0,Δt = 90s,Time step size,,0.504,0.017
0,run_0606_10,0.577,0.46,0.63,0.598,0.513,0.42,0.0,Δt = 100s,Time step size,,0.517,0.018
0,run_0606_11,0.577,0.46,0.621,0.598,0.722,0.659,0.0,Δt = 200s,Time step size,,0.576,0.02
0,run_0606_12,0.577,0.46,1.444,0.652,5.554,6.672,28.0,Δt = 500s,Time step size,,152.601,2466.423
0,run_0606_13,0.577,0.46,1.752,1.329,0.687,2.183,13.0,Δt = 1000s,Time step size,,115.369,8469.205
0,run_0606_14,0.577,0.46,0.659,0.598,0.027,0.019,0.0,Δt = 5s,Time step size,,0.509,0.015
0,run_0606_15,0.577,0.46,0.659,0.598,0.006,0.004,0.0,Δt = 1s,Time step size,,0.509,0.016
0,run_0606_16,0.577,0.46,0.659,0.598,0.0,0.0,0.0,Δt = 0.1s,Time step size,,0.509,0.016
0,run_0606_17,0.577,0.46,0.621,0.598,0.722,0.659,0.0,Δt = 250s,Time step size,,0.576,0.02
0,run_0606_18,0.577,0.46,1.444,0.701,14.935,6.453,11.0,Δt = 300s,Time step size,,116.374,4964.051
0,run_0606_19,0.577,0.46,1.906,1.716,0.117,0.204,11.0,Δt = 350s,Time step size,,246.67,1580.379
0,run_0606_20,0.577,0.46,1.198,0.888,8.674,10.817,12.0,Δt = 400s,Time step size,,177.126,1397.693
0,run_0606_21,0.577,0.46,1.906,2.247,0.0,0.0,5.0,Δt = 120s,Time step size,,350.809,4435.914
0,run_0606_22,0.577,0.46,1.906,2.247,2.245,1.608,14.0,Δt = 140s,Time step size,,170.575,25517.104
0,run_0606_23,0.577,0.46,1.906,2.247,4.697,0.368,14.0,Δt = 160s,Time step size,,157.309,1008.179
0,run_0606_24,0.577,0.46,,,,,10.0,Δt = 180s,Time step size,,201.342,3250.988
0,run_0106_1,0.577,0.46,0.659,0.598,0.238,0.199,13.0,Max. Courant = 0.5,Max. Courant,,0.505,0.016
0,run_0106_2,0.577,0.46,0.659,0.598,0.22,0.198,11.0,Max. Courant = 0.6,Max. Courant,,0.504,0.016
0,run_0106_3,0.577,0.46,0.63,0.598,0.401,0.306,10.0,Max. Courant = 0.8,Max. Courant,,0.503,0.016
0,run_0106_4,0.577,0.46,0.63,0.598,0.462,0.355,10.0,Max. Courant = 0.9,Max. Courant,,0.503,0.016
0,run_0106_5,0.577,0.46,0.63,0.598,0.518,0.413,9.0,Max. Courant = 1.0,Max. Courant,,0.503,0.016
0,run_0106_6,0.577,0.46,0.63,0.598,0.505,0.419,8.0,Max. Courant = 1.1,Max. Courant,,0.504,0.016
0,run_0106_7,0.577,0.46,0.63,0.598,0.503,0.42,8.0,Max. Courant = 1.2,Max. Courant,,0.504,0.016
0,run_0106_8,0.577,0.46,0.659,0.598,0.066,0.047,40.0,Max. Courant = 0.1,Max. Courant,,0.508,0.016
0,run_0106_9,0.577,0.46,0.659,0.598,0.124,0.091,27.0,Max. Courant = 0.2,Max. Courant,,0.507,0.016
0,run_0106_10,0.577,0.46,0.659,0.598,0.175,0.132,18.0,Max. Courant = 0.3,Max. Courant,,0.506,0.016
0,run_0106_11,0.577,0.46,0.659,0.598,0.209,0.163,15.0,Max. Courant = 0.4,Max. Courant,,0.506,0.016
0,run_0106_12,0.577,0.46,0.63,0.598,0.5,0.42,9.0,Max. Courant = 1.3,Max. Courant,,0.504,0.016
0,run_0106_13,0.577,0.46,0.63,0.598,0.496,0.417,9.0,Max. Courant = 1.4,Max. Courant,,0.504,0.016
0,run_0106_14,0.577,0.46,0.621,0.598,0.653,0.523,9.0,Max. Courant = 1.5,Max. Courant,,0.504,0.016
0,run_0106_15,0.577,0.46,0.621,0.598,0.741,0.637,9.0,Max. Courant = 1.6,Max. Courant,,0.504,0.016
0,run_0106_16,0.577,0.46,0.621,0.598,0.71,0.646,11.0,Max. Courant = 1.7,Max. Courant,,0.504,0.016
0,run_0106_17,0.577,0.46,0.621,0.598,0.594,0.538,18.0,Max. Courant = 1.8,Max. Courant,,0.504,0.016
0,run_0106_18,0.577,0.46,0.621,0.598,0.594,0.538,12.0,Max. Courant = 1.9,Max. Courant,,0.504,0.016
0,run_0106_19,0.577,0.46,0.621,0.598,0.594,0.538,10.0,Max. Courant = 2.0,Max. Courant,,0.504,0.016
0,run_1006_1,0.577,0.46,,,,,23.0,Δx = 5m,Resolution x-direction,,145.151,59642.768
0,run_1006_2,0.577,0.46,,,,,18.0,Δx = 10m,Resolution x-direction,,76.866,18237.859
0,run_1006_3,0.577,0.46,0.954,1.01,0.472,0.402,0.0,Δx = 16m,Resolution x-direction,,0.754,0.153
0,run_1006_5,0.577,0.46,0.954,0.998,0.312,0.259,0.0,Δx = 25m,Resolution x-direction,,0.753,0.079
0,run_1006_6,0.577,0.46,0.957,0.993,0.256,0.205,0.0,Δx = 31.25m,Resolution x-direction,,0.752,0.07
0,run_1006_7,0.577,0.46,0.958,0.98,0.222,0.175,0.0,Δx = 36.5m,Resolution x-direction,,0.751,0.074
0,run_1006_8,0.577,0.46,0.955,0.976,0.202,0.158,0.0,Δx = 40m,Resolution x-direction,,0.747,0.064
0,run_1006_9,0.577,0.46,0.96,0.97,0.164,0.126,0.0,Δx = 50m,Resolution x-direction,,0.747,0.047
0,run_1006_10,0.577,0.46,0.964,0.957,0.134,0.099,0.0,Δx = 62.5m,Resolution x-direction,,0.737,0.046
0,run_1006_11,0.577,0.46,0.967,0.936,0.079,0.062,0.0,Δx = 100m,Resolution x-direction,,0.765,0.031
0,run_1006_12,0.577,0.46,0.914,1.027,0.018,0.007,0.0,Δx = 200m,Resolution x-direction,,0.74,0.011
0,run_1006_13,0.577,0.46,0.914,0.882,0.009,0.01,0.0,Δx = 400m,Resolution x-direction,,0.74,0.011
0,run_1106_1,0.577,0.46,0.858,0.845,0.321,0.271,0.0,Δz = 2.0m,Resolution z-direction,,0.691,0.112
0,run_1106_4,0.577,0.46,0.996,0.975,0.394,0.322,0.0,Δz = 0.91m,Resolution z-direction,,0.763,0.1
0,run_1106_5,0.577,0.46,1.002,0.985,0.397,0.319,0.0,Δz = 0.83m,Resolution z-direction,,0.763,0.102
0,run_1106_6,0.577,0.46,1.006,0.985,0.391,0.316,0.0,Δz = 0.77m,Resolution z-direction,,0.76,0.104
0,run_1106_7,0.577,0.46,1.01,0.99,0.392,0.322,0.0,Δz = 0.67m,Resolution z-direction,,0.759,0.13
0,run_1106_8,0.577,0.46,1.014,0.99,0.391,0.329,0.0,Δz = 0.59m,Resolution z-direction,,0.764,0.111
0,run_1106_9,0.577,0.46,1.017,0.99,2.945,0.332,3.0,Δz = 0.5m,Resolution z-direction,,340.121,21461.384
0,run_1106_10,0.577,0.46,1.021,0.99,19.169,0.304,4.0,Δz = 0.43m,Resolution z-direction,,346.066,118068.694
0,run_1106_11,0.577,0.46,,,,,7.0,Δz = 0.37m,Resolution z-direction,,458.203,201767.752
0,run_1106_12,0.577,0.46,,,,,19.0,Δz = 0.3m,Resolution z-direction,,1188.916,308476.955
0,run_1106_13,0.577,0.46,,,,,27.0,Δz = 0.22m,Resolution z-direction,,1751.891,4832362.582
